0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
0.3415333,0.43219572,0.3008076,0.4852803,0.5308063,0.33528957,0.49230373,0.42645526,0.6029863,0.35330686,0.5019284,0.29801473,0.2871548,0.34303752,0.57284635,0.31173062,0.39608058,0.38887802,0.3337303,0.3793457,0.46886718,0.4320339,0.39467245,0.35296875,0.32975945,0.366349,0.25716454,0.35459006,0.36015052,0.65974355,0.45782137,0.46974233,0.40666237,0.40501517,0.37402472,0.46014777,0.5350582,0.30390933,0.42612264,0.6253252,0.58764577,0.53304,0.765658,0.36598697,0.42268395,0.26667967,0.44606757,0.4620331,0.42730424,0.3782894,0.4831308,0.3470773,0.5076449,0.3010295,0.3498529,0.60650444,0.30313432,0.53819734,0.3490582,0.5231494,0.23604898,0.40762505,0.30543083,0.3683707,0.43739584,0.353285,0.26462746,0.7261237,0.26653954,0.35266948,0.35671383,0.456218,0.64686024,0.48388538,0.3571296,0.6277188,0.29156956,0.43982974,0.56327546,0.5456136,0.4198693,0.49089286,0.59969777,0.41510764,0.59610355,0.4520099,0.5084896,0.7990634,0.29300866,0.6250736,0.5893058,0.427483,0.79123247,0.48448873,0.48169437,0.6892023,0.4518436,0.33125716,0.65599036,0.4182627,0.33228064,0.40811944,0.672827,0.6696706,0.54429877,0.8240043,0.57826066,0.6082877,0.5036601,0.37296134,0.45408428,0.44233555,0.36950785,0.667774,0.40143806,0.3275149,0.41462436,0.3201998,0.38175222,0.4669453,0.41989177,0.4448847,0.37169036,0.4506612,0.36953023,0.2895844,0.37362495,0.5616605,0.39876175,0.40086854,0.6228384,0.5548968,0.3654334,0.5014633,0.5269153,0.80279696,0.3638652,0.5046934,0.42324486,0.4625448,0.6285113,0.43339595,0.57457924,0.52616394,0.35653472,0.49016675,0.50453424,0.5051881,0.35201034,0.59638107,0.5343971,0.45302862,0.6351861,0.3064677,0.3047101,0.3944803,0.3466378,0.37504444,0.5979985,0.639529,0.45173812,0.4805998,0.6536058,0.3218714,0.29489776,0.43229425,0.406284,0.55079985,0.47515562,0.46924698,0.33817506,0.7604457,0.4115056,0.5346364,0.27367464,0.46076185,0.41643158,0.26743913,0.5108793,0.37957162,0.34891033,0.48900098,0.38968226,0.71681154,0.5323316,0.26289153,0.5751891,0.4604754,0.6403382,0.7222868,0.35154328,0.28883156
0.36965224,0.368743,0.32617462,0.5264938,0.49219987,0.408879,0.35360068,0.49991438,0.49630478,0.43772495,0.41126692,0.39742562,0.422794,0.47383448,0.46299613,0.4183828,0.38561872,0.47261617,0.33967656,0.45100546,0.49872535,0.51052606,0.37753075,0.455992,0.48414826,0.4565689,0.38936284,0.4780581,0.42758557,0.52757734,0.4268998,0.45460397,0.41791028,0.5108528,0.3940771,0.4430604,0.5705944,0.35881132,0.4019468,0.5492048,0.464569,0.5447459,0.7268652,0.47192302,0.37575802,0.3142226,0.4992354,0.48091978,0.38943595,0.40354612,0.40336606,0.4618243,0.6030277,0.29948905,0.49059334,0.5618819,0.47182447,0.45498466,0.42341313,0.5562174,0.35911694,0.4084604,0.3855922,0.42546594,0.45203918,0.43203118,0.38995188,0.6248615,0.35953692,0.41439268,0.49473694,0.5494461,0.57567865,0.57630616,0.48637363,0.5627855,0.36961237,0.49185392,0.48322725,0.5423626,0.4319958,0.3961981,0.5811249,0.3840078,0.61209536,0.40871227,0.43230078,0.7681057,0.43163714,0.50703824,0.60214317,0.42884284,0.60643697,0.5818335,0.56837106,0.55424094,0.5056701,0.38032192,0.4901023,0.42456967,0.47147685,0.40934646,0.6610941,0.7040025,0.53046757,0.6863644,0.50809824,0.4222481,0.48307562,0.5093335,0.43055215,0.47921768,0.43237492,0.61546385,0.44859722,0.39252532,0.43409157,0.33087638,0.41504905,0.44340044,0.37053213,0.48615137,0.47803795,0.4824454,0.44708142,0.45807675,0.27383184,0.55872846,0.40106267,0.42826924,0.44330186,0.5252962,0.32906705,0.40111312,0.529654,0.5526745,0.268455,0.53555006,0.40860373,0.4761823,0.61582565,0.36658433,0.493006,0.5088886,0.39557713,0.41566324,0.47072712,0.3664121,0.42788118,0.5867429,0.45321625,0.33762246,0.55149686,0.46856704,0.42041436,0.40218347,0.33879963,0.4052312,0.48779652,0.5429655,0.45814902,0.537899,0.43259215,0.30110836,0.3916126,0.3457345,0.39625147,0.50284064,0.42762873,0.47657967,0.42566055,0.611837,0.51101655,0.36592597,0.34437773,0.5590569,0.45831063,0.30915862,0.553929,0.4852402,0.4200144,0.42796174,0.35579064,0.4487729,0.4750175,0.3368633,0.49112874,0.3954208,0.482231,0.6067786,0.55930996,0.2644116
0.38194597,0.39715362,0.34236443,0.5106603,0.521273,0.37956718,0.4119805,0.48964158,0.5570141,0.43864906,0.44496143,0.39625826,0.3781878,0.44920176,0.50892365,0.39592445,0.4223231,0.42646083,0.36648852,0.44171292,0.47954696,0.46875566,0.4160596,0.40840477,0.44273794,0.47086108,0.3513824,0.42451093,0.42025092,0.5864818,0.44236594,0.4726112,0.4292661,0.47656217,0.41816032,0.45184648,0.5460809,0.3441576,0.4336402,0.57463473,0.52482027,0.52409816,0.7207954,0.40958753,0.44832698,0.3195396,0.51306033,0.4850824,0.4287895,0.41488582,0.45208168,0.45496833,0.5038438,0.37481406,0.43377364,0.576096,0.3979556,0.5076569,0.407789,0.54712766,0.331844,0.40990502,0.40288582,0.43947697,0.46472922,0.40612975,0.37022564,0.66707623,0.34614393,0.4276298,0.42954493,0.49996033,0.5841804,0.5327397,0.45730972,0.56142867,0.36344844,0.4928599,0.5080401,0.5317708,0.4101245,0.45103514,0.5786922,0.4480055,0.5981492,0.40929294,0.4598516,0.7549371,0.3933986,0.5597682,0.5749675,0.44602233,0.69732773,0.51875705,0.5415713,0.61661965,0.48263964,0.3872739,0.5866536,0.42324865,0.42829388,0.41195425,0.60278684,0.63782173,0.5233716,0.7367378,0.514032,0.50122094,0.5105369,0.46382132,0.43630475,0.44783792,0.44304192,0.63464165,0.43007678,0.3680777,0.45331025,0.36752,0.40021625,0.45144567,0.4004578,0.47065875,0.47254083,0.48698035,0.42764035,0.38993886,0.33989856,0.54377675,0.42375973,0.46183002,0.5134081,0.5492048,0.37561864,0.4824156,0.5747273,0.6481453,0.36729264,0.534312,0.43044385,0.47999376,0.630628,0.44978735,0.55923104,0.5804452,0.37472796,0.47986645,0.48115483,0.4878907,0.3923541,0.5554446,0.49736553,0.42403677,0.5611588,0.38568646,0.39684078,0.4694778,0.39092866,0.407949,0.5242591,0.583879,0.48450664,0.5333518,0.5611478,0.34291232,0.38321114,0.39682454,0.40679294,0.55115396,0.45720565,0.47343674,0.395396,0.6900567,0.46660608,0.48636332,0.32222697,0.5188097,0.44878897,0.29993436,0.52251005,0.42554888,0.40128264,0.504812,0.37189874,0.57583904,0.49949473,0.35257623,0.50884426,0.41124988,0.5312442,0.6594801,0.4684653,0.30318707
0.38951552,0.3904516,0.34256306,0.5177541,0.50729895,0.40785193,0.37332502,0.5081322,0.51204246,0.4619132,0.41940933,0.4199719,0.4265303,0.4847685,0.47922426,0.42567882,0.41485587,0.45121,0.36513156,0.45775336,0.4908848,0.4959905,0.40372682,0.4450675,0.48755157,0.49394485,0.40138072,0.4706619,0.43946147,0.5548784,0.42672265,0.46014625,0.42441607,0.50424945,0.4253493,0.44620457,0.5475919,0.3598845,0.41649446,0.5490003,0.48451984,0.52591103,0.71400386,0.4414124,0.42620933,0.33707672,0.52909863,0.49101403,0.41769552,0.4181935,0.4224193,0.4887791,0.5440295,0.35708684,0.46960533,0.5647464,0.4510707,0.46591336,0.4289511,0.5504911,0.37073112,0.42002085,0.41970614,0.4511091,0.47647128,0.43827218,0.41275358,0.6383702,0.37259614,0.43848687,0.47833362,0.5385683,0.5675696,0.5589805,0.49928352,0.54102373,0.3805174,0.5107198,0.47879186,0.5237019,0.4244462,0.4239639,0.5700891,0.42390543,0.60678536,0.39420414,0.4375951,0.75612867,0.4239912,0.51609826,0.58187175,0.45108122,0.62917745,0.5494938,0.56701577,0.57862127,0.49825728,0.4036645,0.5318594,0.42108646,0.47748145,0.4130762,0.60768276,0.6651709,0.5320447,0.6896973,0.5004468,0.44360608,0.5042527,0.5133862,0.43419504,0.46201122,0.46205592,0.6163312,0.44699758,0.38732868,0.454227,0.35710114,0.41691148,0.4437477,0.38502473,0.4827631,0.5028502,0.5009159,0.44008276,0.4490966,0.29641688,0.5402453,0.4268309,0.46887767,0.45860162,0.5442384,0.35830986,0.44896254,0.57309055,0.5513908,0.32758853,0.5510508,0.42652085,0.4820706,0.62732714,0.41632095,0.5329428,0.5649911,0.3873055,0.44964838,0.47071272,0.43168095,0.42489985,0.5612202,0.48394656,0.38641986,0.5333935,0.43614644,0.42088154,0.46170905,0.3765674,0.40776315,0.4893369,0.559763,0.4923197,0.54684633,0.48018318,0.32151684,0.41958627,0.36243483,0.4004621,0.5404999,0.4413829,0.4838502,0.41890666,0.64326644,0.5064292,0.4165926,0.34977847,0.5464003,0.4719664,0.30830652,0.5365126,0.46983272,0.42595947,0.47979525,0.3580843,0.4843393,0.48917904,0.3586434,0.46940532,0.39376897,0.47572863,0.6286094,0.543838,0.29257303
0.3094856,0.4183364,0.22813547,0.4554406,0.5102569,0.29524845,0.4999164,0.4047695,0.6134835,0.2703955,0.54586196,0.19953983,0.2512822,0.28467786,0.58815235,0.25998428,0.28435943,0.3978735,0.27773324,0.32218108,0.5032997,0.40437695,0.34297976,0.31401026,0.26005673,0.27240205,0.22633788,0.33506224,0.3107644,0.6932737,0.45309523,0.44093207,0.37054214,0.37385485,0.32301578,0.4629681,0.5318316,0.25719526,0.3708928,0.66467,0.59447813,0.5553664,0.8206905,0.35963753,0.33851627,0.19525744,0.36347294,0.43361184,0.41430113,0.34878522,0.45527756,0.2597461,0.58233523,0.2159815,0.32580078,0.5848947,0.2654808,0.5272245,0.2652597,0.5129131,0.19951312,0.41434765,0.20463786,0.30124313,0.44029847,0.30559108,0.19772264,0.74102247,0.22879468,0.29657635,0.35648948,0.4384729,0.6571263,0.4947055,0.29151207,0.6980111,0.2605882,0.3797853,0.6152922,0.59918356,0.4631289,0.47583258,0.6186508,0.31740028,0.6182892,0.510449,0.5085281,0.86131746,0.22870488,0.6570011,0.60169625,0.37730378,0.79720175,0.5352721,0.45366645,0.7250496,0.45409554,0.2741885,0.6515225,0.39748892,0.3121607,0.39104146,0.7789277,0.72588927,0.567043,0.8663937,0.6336014,0.64442164,0.45277545,0.37113172,0.48120862,0.45420554,0.29697037,0.6523104,0.38513488,0.29726875,0.41309467,0.23360553,0.38543433,0.5054052,0.4225095,0.41363594,0.2614421,0.44256705,0.34735724,0.26394975,0.34190246,0.59105337,0.40621516,0.31086096,0.6477629,0.5687772,0.30430055,0.46979073,0.4282337,0.83511424,0.2227071,0.4635809,0.3754568,0.46699977,0.59976983,0.2930184,0.5303647,0.39945534,0.37413874,0.4321226,0.49405733,0.39595443,0.31882742,0.6524378,0.5540433,0.43427932,0.6848864,0.26947868,0.25200105,0.26311755,0.26359478,0.35112152,0.6057881,0.6423776,0.38043544,0.4392851,0.62077963,0.27876946,0.20015088,0.3710007,0.40083694,0.49682036,0.486642,0.44833338,0.30770394,0.7601546,0.4185952,0.4539515,0.27311844,0.46194687,0.40541852,0.24103934,0.56715554,0.36778495,0.27059612,0.4133406,0.41461095,0.71401817,0.5265097,0.19118527,0.6321685,0.47432795,0.6963037,0.71716464,0.34988233,0.23693533
0.40562806,0.419574,0.40455854,0.4727068,0.5392436,0.46566194,0.4226446,0.50190914,0.50004077,0.40879285,0.4387344,0.45919114,0.46088752,0.46922657,0.49913874,0.45375404,0.41975313,0.50765866,0.38719866,0.5114552,0.4627626,0.44922256,0.38723317,0.44623432,0.45555815,0.4660893,0.4445744,0.48104316,0.44659805,0.51251495,0.45234242,0.4897568,0.44028947,0.49675256,0.45972398,0.5487605,0.5193033,0.41775355,0.39282894,0.4870499,0.4898307,0.4740654,0.637398,0.48097584,0.4318809,0.41414654,0.48556674,0.51022553,0.4878921,0.4337376,0.40927014,0.4730897,0.49551547,0.37563965,0.47883356,0.5820252,0.48299205,0.50422376,0.47027507,0.53709286,0.43837672,0.4367403,0.47824216,0.41554135,0.5043323,0.4848118,0.46189773,0.5720019,0.40491515,0.48382354,0.4983157,0.5356053,0.5535642,0.55700195,0.451908,0.50260544,0.40091705,0.51713306,0.5002829,0.5050907,0.4490727,0.47742325,0.5472977,0.44378695,0.532349,0.45736971,0.47334936,0.67866284,0.4933193,0.5166967,0.49790993,0.4647485,0.582677,0.5569413,0.5537445,0.4852082,0.5270634,0.43552312,0.48343086,0.4480634,0.5335357,0.5009464,0.6798311,0.674737,0.49626306,0.59589994,0.5212563,0.4408172,0.5087822,0.47594187,0.4128861,0.43722236,0.47151276,0.603006,0.48905325,0.45474195,0.45786145,0.3601131,0.44019133,0.4268368,0.39872187,0.54103273,0.50268036,0.4839006,0.45546916,0.4586181,0.28772396,0.47627577,0.49002576,0.49275014,0.42869046,0.4945219,0.39248013,0.40346628,0.5665417,0.5011047,0.3951664,0.49939838,0.40072164,0.51542705,0.52080226,0.48088783,0.49161568,0.47173366,0.43693703,0.4673125,0.5089077,0.44355747,0.48809347,0.50404,0.45230162,0.45525855,0.5908047,0.437019,0.5041269,0.39928544,0.3760174,0.525301,0.49738324,0.4871347,0.4302963,0.5027183,0.5048428,0.3191449,0.44363967,0.44108683,0.4527818,0.5623806,0.4556907,0.5440867,0.4518421,0.57403255,0.5044339,0.4262878,0.38214245,0.5399099,0.5099782,0.43994436,0.49789533,0.5311954,0.50252235,0.3879336,0.41745895,0.48801777,0.45721346,0.3893652,0.4853898,0.4309184,0.46696448,0.5797993,0.4372236,0.28987572
0.40553465,0.36009163,0.29476365,0.6056652,0.6510752,0.44163173,0.36474288,0.48454905,0.40066627,0.5530809,0.3427052,0.43163082,0.50902516,0.40470394,0.4736451,0.3598778,0.41574395,0.46654204,0.38222417,0.4792974,0.4735852,0.5798869,0.24866737,0.45958576,0.42873842,0.48936936,0.2894246,0.4766742,0.30785802,0.3528582,0.31601548,0.39464444,0.5037216,0.5574213,0.31693587,0.48756236,0.58268654,0.45242175,0.35946527,0.5246537,0.4543889,0.60043734,0.86111414,0.53681684,0.49650222,0.33615696,0.4720578,0.5354358,0.43799382,0.36775085,0.26836562,0.3844086,0.58252656,0.16259484,0.4458333,0.68979204,0.5802182,0.4607683,0.48728812,0.6446646,0.43379208,0.28532374,0.39828834,0.35296875,0.48149475,0.48235083,0.40386254,0.666389,0.38944674,0.34768763,0.47305378,0.5107205,0.47073936,0.58305395,0.5050653,0.6586475,0.35587946,0.4219316,0.47212887,0.580019,0.35449362,0.37222886,0.63232684,0.2588959,0.54433703,0.44771302,0.44402182,0.8487073,0.55265075,0.5615549,0.5605625,0.41442233,0.6032684,0.5945593,0.51587164,0.4329744,0.6602027,0.22400461,0.4056901,0.4583608,0.46776938,0.55581504,0.84595764,0.8278613,0.51801187,0.59949565,0.49591446,0.33354673,0.411447,0.5378746,0.3081098,0.44878656,0.42808062,0.7030835,0.38801435,0.4468707,0.3712426,0.1981194,0.42441025,0.36861727,0.34460768,0.58831066,0.51245177,0.41126257,0.3497847,0.42515925,0.14269923,0.5092876,0.38257343,0.4677721,0.4764962,0.45662615,0.25354514,0.2652637,0.5757097,0.39254734,0.22597603,0.5563711,0.26058203,0.51712096,0.6500989,0.37213886,0.4358342,0.35774353,0.42015874,0.3138299,0.42541817,0.25706354,0.46739194,0.6023053,0.39687467,0.31052303,0.6144706,0.4695534,0.5021845,0.2908728,0.34292033,0.51998425,0.55871797,0.5196317,0.38355532,0.5728731,0.33564797,0.13744111,0.34837544,0.29870507,0.3482189,0.5776831,0.33528635,0.5633887,0.40473685,0.6742649,0.467918,0.15419151,0.26627773,0.4834537,0.52044547,0.26836202,0.51451945,0.6075331,0.53085184,0.26627538,0.24692643,0.38219506,0.48011175,0.2778983,0.53468764,0.4590009,0.2833173,0.66509855,0.49151486,0.15556677
0.2814268,0.42697942,0.2288996,0.4554369,0.5503608,0.25171238,0.5997448,0.33228257,0.69653916,0.19750412,0.6007827,0.14604074,0.15938815,0.21072808,0.64557755,0.2010854,0.32746035,0.31591982,0.2558448,0.25931337,0.48418868,0.35279065,0.33714724,0.24588087,0.16311686,0.1898442,0.13637997,0.23989475,0.2642067,0.72909474,0.5045333,0.4326579,0.33688954,0.29886168,0.28669354,0.46148604,0.54421246,0.24123922,0.37670478,0.671627,0.6831305,0.5846713,0.8515023,0.34071636,0.34879318,0.16119294,0.30047095,0.40444586,0.395036,0.32612965,0.47750446,0.16303782,0.53296554,0.1891297,0.24857025,0.6460589,0.19489047,0.6055281,0.22894202,0.5094876,0.13612533,0.39710015,0.15828077,0.27605638,0.39571592,0.24804232,0.11886459,0.82781094,0.15909815,0.25550067,0.23482455,0.3630225,0.74566895,0.4071544,0.18491296,0.7353202,0.18816945,0.34330213,0.6581097,0.5889508,0.47192973,0.5120835,0.6568124,0.32370606,0.631202,0.5831168,0.5870619,0.86841786,0.16167216,0.7183826,0.6220019,0.39367324,0.89414537,0.4748876,0.37280083,0.7921168,0.4315486,0.25393257,0.7260785,0.43677253,0.20891821,0.38088515,0.7978761,0.7279722,0.5773428,0.91673124,0.6610317,0.7370399,0.5149493,0.25997004,0.48868835,0.44382846,0.25732806,0.7494447,0.37781805,0.23321629,0.3789221,0.22392619,0.33183613,0.4985954,0.43105116,0.4059011,0.20129086,0.38585252,0.290567,0.15368396,0.3844219,0.62621707,0.33269447,0.26612294,0.7525594,0.5563114,0.33358946,0.54030025,0.41544256,0.9369171,0.34464353,0.4752475,0.369396,0.4354353,0.6238934,0.35961008,0.5863085,0.39677104,0.34466165,0.47150588,0.54857695,0.49904662,0.27398172,0.65111816,0.58898056,0.4811361,0.772211,0.23751634,0.1963078,0.2283575,0.25017673,0.3059014,0.7162888,0.67611724,0.3392018,0.38731673,0.74608,0.28626135,0.14092593,0.45759273,0.39003673,0.515004,0.49396917,0.42870137,0.25753632,0.86085105,0.32738632,0.56474864,0.20896216,0.3950545,0.3615098,0.20006505,0.54927504,0.32042766,0.27849594,0.4657802,0.40334433,0.8418442,0.55059314,0.14934243,0.68753815,0.4997581,0.80008984,0.75435674,0.22205186,0.24450761
0.3672899,0.41776958,0.3326901,0.5022526,0.5223527,0.37087864,0.4321444,0.48047957,0.55520844,0.41512626,0.4627793,0.37771797,0.35755274,0.4204306,0.5251333,0.37792975,0.41740137,0.42607012,0.36333656,0.42423478,0.48072353,0.4621892,0.41498765,0.39932334,0.41669253,0.44878128,0.33094615,0.42043212,0.39479566,0.6089897,0.43959597,0.4811277,0.42357272,0.45386934,0.4096691,0.4487849,0.5423903,0.33743936,0.43279427,0.58575726,0.53890675,0.53593504,0.73131204,0.39817968,0.43543202,0.3149029,0.49219665,0.47864258,0.42390457,0.39826378,0.4598025,0.43736032,0.5125494,0.3487799,0.41888246,0.5869841,0.37534776,0.50210774,0.38928723,0.52841157,0.2999428,0.41541395,0.37047166,0.41599643,0.45771375,0.38896725,0.3445782,0.6807508,0.32277837,0.3960805,0.4261353,0.50033003,0.6020961,0.5178287,0.44051796,0.5792682,0.34953496,0.47495988,0.52246046,0.53103334,0.41544613,0.45343614,0.5791,0.4356312,0.5979085,0.41672334,0.46935594,0.7718822,0.36110747,0.5730169,0.5892754,0.43199766,0.7176345,0.5168711,0.5336746,0.6320516,0.46810707,0.37761873,0.5977582,0.41555253,0.4006437,0.40775445,0.62483716,0.65872765,0.53525454,0.758605,0.52990854,0.52789795,0.5036657,0.4407595,0.44830576,0.45464206,0.4225426,0.6385064,0.4218987,0.36848184,0.44260198,0.35440436,0.40442237,0.45993596,0.4073842,0.46621305,0.45425335,0.47282484,0.41055998,0.37647313,0.34511545,0.54206246,0.41523367,0.45161322,0.5411941,0.5518482,0.36472347,0.4789076,0.5622576,0.68516934,0.36020672,0.5317586,0.43727252,0.47882923,0.61894584,0.44528207,0.55330205,0.556648,0.36505586,0.4798867,0.4948785,0.48123282,0.38940307,0.577893,0.5077164,0.42803195,0.57632697,0.36888131,0.37468886,0.45309314,0.38076267,0.39907146,0.54216886,0.60662675,0.4846387,0.5256817,0.5791323,0.3300993,0.36513346,0.40543413,0.41144416,0.54390144,0.46355012,0.48190224,0.37563834,0.7004858,0.4613962,0.48714054,0.31293526,0.509115,0.44624165,0.29196113,0.5150038,0.42107397,0.38393253,0.49429175,0.3739701,0.6031256,0.51049984,0.3255054,0.51797116,0.42164278,0.5582948,0.6737805,0.4454699,0.29854572
0.33166873,0.42363256,0.29602295,0.48509708,0.5538385,0.33295166,0.49980476,0.4440475,0.62721515,0.3431034,0.50162387,0.2891355,0.2558536,0.3502279,0.56911784,0.31145817,0.41642228,0.38993326,0.3372205,0.37961802,0.47544622,0.4208541,0.40981364,0.34845603,0.3081475,0.35232538,0.2356706,0.35346884,0.34625405,0.63922524,0.4664441,0.46334618,0.4115979,0.3859404,0.38433897,0.46751848,0.5407208,0.30195087,0.4236769,0.61118156,0.59836733,0.56385875,0.77586675,0.38010493,0.4230874,0.259433,0.43592024,0.43870005,0.42701435,0.36752734,0.4772433,0.32827154,0.47439593,0.30164185,0.32939658,0.6313857,0.3094795,0.5450289,0.33826756,0.52951133,0.22869337,0.4010049,0.30283424,0.35354614,0.43944204,0.33003792,0.2372414,0.7550542,0.25501993,0.35170606,0.34716824,0.4340969,0.6559404,0.46000528,0.33330452,0.6379173,0.28838354,0.42193356,0.5694737,0.5438969,0.4177011,0.47693294,0.61005926,0.41792288,0.60074556,0.47224674,0.512886,0.80872226,0.2890209,0.6355307,0.5950411,0.4324929,0.8088188,0.49264345,0.4845564,0.70449865,0.45242527,0.33080795,0.65686417,0.41602418,0.32298312,0.4078519,0.6896403,0.6793864,0.536412,0.83303225,0.5759363,0.6204511,0.52548534,0.35844886,0.45955113,0.45312956,0.3577222,0.68754905,0.39337182,0.31390873,0.4143852,0.32099012,0.3792121,0.46035114,0.41076112,0.44468033,0.38263783,0.441487,0.35010955,0.2661602,0.36811012,0.576486,0.38032362,0.39786133,0.629503,0.531435,0.3702126,0.5171282,0.5225271,0.8329389,0.3944949,0.5170438,0.4194063,0.4477946,0.6246965,0.4578938,0.56607795,0.51928866,0.33911124,0.49381858,0.52384317,0.51886356,0.34268954,0.60038006,0.5224504,0.45027822,0.66124046,0.31888953,0.32118377,0.39028174,0.34192798,0.36615562,0.6220976,0.638824,0.444797,0.48631105,0.68855906,0.3187021,0.28161454,0.44795772,0.3962798,0.55332875,0.45734155,0.47119272,0.32889962,0.77491295,0.3999705,0.53273976,0.25782198,0.46050507,0.4237391,0.24955809,0.5044843,0.37346414,0.3497232,0.48383212,0.38168156,0.7258394,0.52646446,0.25902185,0.5787658,0.4485565,0.67234045,0.7030351,0.3343932,0.27935186
