0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.5472292,0.38757452,0.42878237,0.483583,0.22148183,0.51642734,0.44717056,0.33160776,0.69996715,0.6829183,0.24959423,0.3861512,0.37280533,0.7191072,0.36192676,0.27024522,0.47254872,0.40931618,0.2642213,0.13829109,0.39412096,0.43012565,0.5739466,0.45927262,0.60708994,0.28360108,0.7683008,0.32549912,0.45606044,0.26743233,0.43155143,0.37195134,0.53094614,0.50019145,0.43593556,0.6023042,0.3828676,0.6593735,0.79068124,0.42065978,0.6010649,0.5338396,0.24473165,0.7081435,0.5951954,0.21355926,0.6428722,0.3444172,0.3537312,0.27010873,0.27584732,0.5187051,0.2979293,0.33184806,0.38783875,0.6206874,0.46384472,0.5253819,0.5207206,0.5337135,0.3728205,0.58391356,0.5530503,0.46170706,0.7106215,0.40623778,0.39973485,0.40338516,0.18704769,0.26825947,0.32344726,0.3906943,0.28192803,0.29710063,0.6681241,0.29130512,0.538836,0.70381105,0.47513452,0.5010936,0.16890197,0.38671944,0.31564033,0.2546605,0.3097579,0.578025,0.76195836,0.49887097,0.6092762,0.36362356,0.5267966,0.48266163,0.32900107,0.25056553,0.2816873,0.49037635,0.4789709,0.5714414,0.41234428,0.3003487,0.3271206,0.27727196,0.39924297,0.5226946,0.46110454,0.23273046,0.4487863,0.6192765,0.3808411,0.3157933,0.5534742,0.5520833,0.45889783,0.21324715,0.3315263,0.37457448,0.15385802,0.45036644,0.21103379,0.4666826,0.5538103,0.44027165,0.4646698,0.7571718,0.5905659,0.46757585,0.39273503,0.2266241
0.5120493,0.48369303,0.5188559,0.4710482,0.39857715,0.48847288,0.4500939,0.4835827,0.491697,0.5356135,0.44859576,0.47646576,0.55434954,0.55401474,0.43513474,0.4751088,0.43678176,0.4617327,0.43341428,0.4124123,0.4537897,0.45044622,0.49502397,0.49944884,0.49904305,0.47311693,0.53085726,0.47951227,0.46389726,0.48078683,0.4696182,0.47028705,0.49435022,0.46224847,0.478618,0.51477253,0.44862127,0.51775587,0.5446552,0.46568018,0.5074636,0.5076909,0.4323255,0.55416954,0.48829865,0.41084102,0.5093173,0.48704556,0.48029202,0.46889728,0.42263517,0.51628494,0.4885799,0.4533969,0.47881114,0.52618814,0.5150926,0.53312325,0.4361667,0.50394416,0.4962539,0.52887094,0.49757904,0.5060551,0.5147035,0.4455554,0.48604533,0.5192244,0.44959864,0.51311827,0.4934166,0.47953215,0.43103018,0.47853673,0.50703347,0.49436876,0.50240237,0.48868853,0.50039464,0.45840096,0.43661,0.4632116,0.45741883,0.44869328,0.4599265,0.53794026,0.56207615,0.54122007,0.5101507,0.538151,0.47590142,0.45413905,0.45812255,0.4500314,0.45629758,0.4788408,0.47449633,0.4694575,0.47430128,0.41478172,0.45991355,0.42070198,0.47536656,0.51023257,0.4701125,0.41926384,0.49297884,0.49282488,0.48045123,0.48168305,0.44971266,0.52539647,0.5174197,0.44280952,0.48861605,0.46288025,0.42909402,0.47961304,0.44096285,0.49483445,0.53462166,0.45178613,0.4758484,0.51267505,0.4986296,0.5143338,0.44635215,0.41372547
0.56630564,0.16026895,0.4275323,0.60651684,0.037869878,0.397534,0.48627204,0.18236074,0.87884295,0.8331758,0.108860575,0.22512087,0.37443125,0.8384042,0.19001839,0.11044293,0.39302188,0.3914817,0.07890113,0.01492427,0.24323915,0.29465342,0.72872424,0.32725528,0.64005715,0.07522284,0.9110739,0.20787029,0.36901224,0.09948253,0.35038075,0.3372971,0.6272979,0.6319759,0.6082338,0.5792688,0.24386619,0.7454879,0.9520128,0.35426846,0.64344734,0.42654917,0.1124994,0.8076135,0.5830888,0.030214544,0.8771043,0.22124492,0.18449211,0.07630428,0.17975487,0.5965121,0.15272355,0.18588395,0.101429835,0.83428836,0.50870067,0.66901636,0.46711573,0.5110576,0.24697284,0.6861691,0.6466037,0.50645095,0.87727374,0.29142645,0.30942413,0.26207513,0.03123437,0.117119774,0.11828709,0.40706208,0.19299448,0.17775977,0.8528715,0.18618764,0.60848314,0.8835886,0.29295057,0.6185121,0.08340858,0.25875401,0.2054712,0.19907486,0.120825455,0.74688554,0.9429064,0.6316074,0.608018,0.30419764,0.4747357,0.5169611,0.11926599,0.10512414,0.1025648,0.5398919,0.5044514,0.69069064,0.47905582,0.0902371,0.2520416,0.052655008,0.2891475,0.45080653,0.34530088,0.1081199,0.2445325,0.71135294,0.2931982,0.13238478,0.5180155,0.58062327,0.3576008,0.09288309,0.12026093,0.31929684,0.018562771,0.25456083,0.03278141,0.530407,0.5712957,0.21608683,0.4862519,0.91407925,0.56478274,0.4748518,0.27605897,0.034477353
0.4139864,0.4170953,0.4706461,0.4364508,0.36803758,0.45333177,0.4048433,0.43238935,0.43565872,0.49478644,0.42703307,0.41993445,0.62591356,0.58431566,0.4597418,0.48330933,0.5156885,0.46180877,0.37606373,0.42039588,0.40010503,0.47973698,0.48466688,0.49097115,0.5508987,0.49596784,0.5200225,0.43940467,0.47782966,0.47703487,0.51107967,0.49572125,0.5762702,0.4702855,0.52601475,0.47782302,0.44955617,0.49118364,0.56325734,0.42369887,0.42440745,0.44415843,0.41267315,0.5598553,0.4464237,0.35115993,0.5386372,0.4607287,0.474638,0.41468382,0.40939623,0.5123852,0.47218752,0.38630962,0.45190322,0.559251,0.48259017,0.54156256,0.4091887,0.5254524,0.4454671,0.5130019,0.44745702,0.41554934,0.4983609,0.4517035,0.5321781,0.4685204,0.4564238,0.49396324,0.4450182,0.45069897,0.42111516,0.39739412,0.5259204,0.46164063,0.51125556,0.43075907,0.4944916,0.5417878,0.5085066,0.39253145,0.49954316,0.47048783,0.4327903,0.5742804,0.5402451,0.51496637,0.5123517,0.5076562,0.46986833,0.4299224,0.46450245,0.38877875,0.39466685,0.4610233,0.42330816,0.47780427,0.44454202,0.39457268,0.42575434,0.4475743,0.4642244,0.5164653,0.4566364,0.47049233,0.48866063,0.4078239,0.4609018,0.48788396,0.3780169,0.5751828,0.5608268,0.4877729,0.4746499,0.5110376,0.41899657,0.5408176,0.40170377,0.50158036,0.5490472,0.42998406,0.453847,0.541443,0.47431332,0.42259148,0.5150219,0.4121081
0.5487341,0.35210094,0.45474833,0.53282833,0.1415063,0.4826575,0.44813624,0.29189306,0.75044084,0.6701981,0.22757913,0.3334493,0.39239255,0.7395103,0.32459354,0.25468445,0.41615033,0.4266289,0.17438185,0.08334428,0.32158744,0.42512655,0.64795977,0.4461832,0.6235876,0.2287879,0.79386586,0.28871903,0.42291817,0.250143,0.39757773,0.36902413,0.554037,0.53868395,0.5198556,0.58701456,0.32312757,0.6101804,0.8589198,0.40324715,0.62510026,0.53622144,0.21380769,0.72272325,0.56588376,0.1466145,0.74161166,0.31760725,0.26772973,0.2017531,0.26672763,0.55175877,0.27041394,0.26672456,0.30349466,0.65813684,0.4733314,0.54485595,0.4525243,0.5267282,0.36867908,0.64377475,0.5351994,0.44909933,0.79333043,0.35998157,0.4213475,0.34143785,0.13310143,0.23799318,0.22242077,0.3660012,0.27768517,0.2676989,0.6901037,0.24082078,0.5036064,0.77036405,0.42623428,0.48275092,0.1415957,0.3479752,0.31835872,0.2646728,0.23948155,0.6337364,0.835256,0.5174656,0.5728053,0.33743855,0.5410552,0.5460812,0.26652583,0.16901982,0.25321633,0.5397823,0.45512253,0.5584346,0.47520286,0.22324619,0.31909192,0.20420016,0.36155203,0.49140427,0.44324654,0.18243767,0.40004745,0.6594229,0.32521546,0.2761572,0.4999974,0.5766878,0.44563136,0.1675167,0.24803483,0.3337343,0.08809538,0.37074178,0.14573938,0.49912834,0.60619044,0.37219495,0.44945222,0.8022022,0.62099946,0.43703508,0.35721612,0.16654614
0.5610912,0.39659977,0.4823195,0.5298348,0.22720508,0.49100256,0.50272775,0.35241172,0.61977947,0.61742973,0.30382887,0.35016719,0.4386491,0.64879376,0.37807527,0.3051628,0.42561576,0.4696316,0.2578391,0.20414577,0.3937258,0.401079,0.5528254,0.43153605,0.5366365,0.29040205,0.7352962,0.35080346,0.4430414,0.31624278,0.43968123,0.39134836,0.5003506,0.5067533,0.4651016,0.5246734,0.4203462,0.56784993,0.76716995,0.43520796,0.5285629,0.49076155,0.3130653,0.6129999,0.52823913,0.22749892,0.6792431,0.37171105,0.32129037,0.31410563,0.32017177,0.52636766,0.3788796,0.3479598,0.33789083,0.64415634,0.5012976,0.5612903,0.485666,0.55594945,0.43162096,0.646964,0.51068926,0.46997297,0.69814444,0.4200932,0.41996273,0.4197194,0.24444151,0.37001896,0.31665027,0.44334432,0.32920092,0.3314549,0.65577877,0.32927898,0.5056291,0.6913152,0.38574263,0.5279747,0.26122257,0.41417247,0.3933068,0.3468742,0.32046604,0.5802867,0.724382,0.5227417,0.5681125,0.41881606,0.567183,0.56094825,0.33236355,0.3102361,0.3382285,0.46033627,0.45572484,0.5546981,0.46423185,0.27999622,0.42220598,0.25716743,0.42277288,0.50675523,0.4308504,0.2688183,0.44850257,0.5939108,0.41553128,0.35340536,0.52617127,0.5699077,0.3885831,0.30830973,0.3451571,0.42116442,0.14245372,0.42494747,0.21083316,0.5030603,0.52374303,0.36937663,0.5076102,0.70203793,0.5856887,0.45562732,0.39736462,0.2327437
0.36639297,0.30698577,0.6412481,0.41941097,0.42842653,0.51552194,0.35041234,0.513601,0.30570576,0.4119772,0.38171786,0.20528549,0.77952695,0.68585515,0.36760718,0.495181,0.63698983,0.40245518,0.17948167,0.4557644,0.23390332,0.48964393,0.4560525,0.47533375,0.69459724,0.570027,0.61125165,0.36448357,0.6167146,0.55949116,0.2843699,0.3624254,0.7178051,0.5894706,0.4157886,0.28170034,0.47195855,0.325391,0.7665711,0.3272734,0.2612009,0.5160866,0.61995184,0.6076209,0.42811918,0.20534149,0.54241574,0.4739122,0.38067362,0.56850004,0.23163931,0.45079544,0.5417253,0.20866884,0.5396945,0.52247787,0.24620177,0.5835164,0.27432433,0.50852454,0.4991603,0.5425372,0.3303755,0.23949884,0.43357536,0.5954761,0.6452222,0.37710458,0.6648415,0.63342464,0.26029086,0.24442388,0.23561476,0.34692183,0.54125667,0.36925578,0.4769681,0.5130676,0.44496456,0.7451064,0.5859797,0.28049037,0.57969815,0.60016835,0.30495945,0.6726527,0.3604265,0.5270974,0.56566787,0.63167804,0.54511404,0.34005207,0.49024105,0.19140875,0.4211585,0.39306694,0.3615877,0.52208745,0.3373281,0.29020542,0.3183417,0.2969291,0.42163923,0.58834374,0.5725195,0.6059565,0.45082694,0.2530398,0.28571114,0.4728928,0.20669818,0.67858434,0.6180639,0.37218574,0.37856525,0.5232167,0.36512628,0.47762257,0.46985358,0.46562225,0.6520797,0.2642565,0.257788,0.41086018,0.41697714,0.34193748,0.60231817,0.2407926
0.694449,0.22954836,0.46834275,0.3497661,0.023636427,0.6639075,0.36423203,0.11314424,0.8763398,0.8675617,0.043945383,0.18946709,0.19150014,0.9652851,0.23900658,0.04297014,0.3129642,0.41735557,0.023239037,0.00818932,0.23458964,0.4017655,0.7304216,0.3032029,0.7975947,0.062033296,0.9644911,0.08993819,0.43039677,0.07321867,0.42413023,0.11968342,0.65136105,0.46773535,0.33310083,0.7557733,0.24551389,0.8104962,0.9812029,0.4101888,0.7462504,0.6227152,0.03764808,0.9281268,0.81349087,0.028170265,0.83571064,0.10985242,0.064295545,0.1011909,0.06691308,0.5161284,0.14651988,0.095561616,0.17653628,0.88831764,0.5229825,0.48885083,0.64763284,0.6223564,0.26524973,0.8705571,0.46651548,0.38754758,0.9434121,0.19915389,0.29414532,0.18666622,0.019245548,0.043296847,0.05082243,0.26383594,0.12642694,0.088429466,0.8128851,0.05176626,0.5328217,0.95081943,0.2440258,0.36142406,0.012047694,0.16366088,0.18084712,0.040172033,0.092778265,0.7254565,0.96534413,0.4387689,0.7911483,0.11415902,0.7656683,0.7472075,0.112137616,0.06755101,0.12388411,0.5107962,0.2588181,0.5876186,0.3426622,0.07625584,0.0873266,0.03776106,0.16448472,0.6928632,0.31708696,0.02722269,0.2652226,0.78194743,0.23685983,0.12601182,0.6692418,0.7884815,0.2229124,0.018043902,0.06883739,0.25778013,0.005673539,0.22780153,0.026995745,0.52452886,0.6288425,0.20292749,0.3027497,0.96822286,0.90282184,0.48136982,0.37756675,0.0316919
0.59546626,0.20927694,0.4176803,0.5740988,0.0468959,0.5247489,0.46586165,0.1501222,0.7952696,0.75543255,0.11015592,0.24011113,0.38068235,0.8237214,0.25983942,0.14025605,0.38401705,0.3891963,0.071979046,0.02851056,0.24318674,0.33678886,0.6461971,0.34004948,0.60235476,0.1122278,0.90973425,0.21209851,0.33607417,0.14572455,0.39285928,0.29868704,0.57190406,0.5288596,0.4715644,0.58935726,0.26258475,0.71820337,0.9441567,0.4291161,0.5974833,0.47630164,0.13190447,0.786448,0.59036946,0.049207874,0.87530756,0.22516757,0.16251953,0.1067066,0.13408794,0.5956162,0.20158586,0.13482107,0.182141,0.78390175,0.48863575,0.6146302,0.45465553,0.598793,0.3160087,0.7959919,0.5530251,0.37258363,0.8724923,0.3043108,0.32558727,0.30592808,0.063323155,0.1678562,0.111255236,0.37484223,0.19486304,0.16623637,0.7968283,0.16420366,0.5268947,0.8575627,0.30001476,0.6032115,0.07099716,0.26192728,0.2550248,0.197411,0.15894,0.7342105,0.9227771,0.5881748,0.66036314,0.273433,0.56678486,0.6262718,0.15805417,0.103377946,0.13409542,0.48425877,0.40894675,0.63904387,0.46507162,0.09465587,0.29027334,0.08356126,0.3464016,0.4468986,0.3430555,0.07753507,0.31926116,0.7012169,0.26920325,0.15679649,0.5633828,0.65658045,0.3393111,0.09732462,0.17882676,0.32391772,0.017711079,0.3707836,0.034008056,0.49293962,0.5795517,0.28805682,0.49424234,0.8912587,0.7122464,0.38601685,0.26435217,0.0487829
0.7362582,0.27352428,0.42616305,0.47950566,0.029771568,0.4754912,0.46689475,0.17414083,0.8179655,0.812727,0.087455384,0.18120581,0.24250127,0.8930788,0.15803242,0.06924998,0.21712251,0.40318567,0.031334236,0.015549938,0.27166426,0.3087881,0.6772871,0.34245324,0.6806525,0.05481596,0.9484548,0.12085943,0.41945234,0.085889295,0.38133907,0.14984876,0.50041115,0.548605,0.3643939,0.6630788,0.31162584,0.6677243,0.9625572,0.41073868,0.6679281,0.5664568,0.076300666,0.82058,0.7447144,0.0339104,0.869424,0.14055784,0.091346435,0.11170071,0.10088794,0.6154351,0.19723946,0.14305651,0.16567531,0.86391866,0.4780992,0.6669235,0.5355499,0.7119878,0.38957554,0.83399534,0.4835558,0.38773242,0.9477488,0.29909813,0.23231164,0.23132288,0.04864444,0.12506728,0.060105033,0.33614138,0.1322713,0.14756958,0.85323656,0.07503215,0.48582262,0.9411681,0.20361242,0.39598447,0.03212239,0.26850224,0.2638105,0.093215264,0.100381404,0.7391512,0.9465243,0.5458859,0.71638507,0.21721256,0.7407551,0.6699125,0.10466418,0.08727491,0.1996988,0.42253956,0.30073276,0.5560155,0.45125324,0.06721951,0.22121689,0.046810873,0.28467047,0.57384527,0.30003056,0.0440607,0.3865303,0.77904814,0.22768994,0.15398687,0.5899095,0.6889937,0.14987978,0.05118848,0.087345086,0.2841507,0.0068301554,0.19098935,0.032277115,0.60666275,0.59492683,0.1760471,0.41220877,0.9312495,0.79965407,0.46064383,0.27693856,0.03241982
