model,experiment,run_id,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_mcc,norm_test_accuracy,norm_test_precision,norm_test_recall,norm_test_f1,norm_test_roc_auc,overfit_score,overall_score,rank
Encoder-DeepFPLearn,OA-DeepFPLearn-Keras-PFAS,9af714984abf4abea4dc982a6818a412,,,,,,0.7436115741729736,0.7222222089767456,0.5057207942008972,,,0.7474437627811861,0.7126213592233009,0.514726507713885,0.5977198697068404,0.7895665939640669,,,1.0,0.8677621139387736,0.30769230769230743,0.5464181656701953,1.0,0,0.7129227046622109,1
GAT-DeepFPLearn,OA-DeepFPLearn-GAT-PFAS,1434a96cf4fa40dda0985e1c12fb28e4,,,,,,0.7291311621665955,0.645476758480072,0.6041190028190613,,,0.7321063394683026,0.6336633663366337,0.6283309957924264,0.6309859154929578,0.765594481974231,,,0.5454545454545452,0.23317259679858504,1.0,1.0,0.5479344206483456,0,0.653901670259746,2
ChemBERTa-DeepFPLearn,ChemBERTa-OA-DeepFPLearn-PFAS,805a76af53814f4e87053bac45293103,,,,,,0.7172061204910278,0.6615384817123413,0.4919908344745636,,,0.7361963190184049,0.6755793226381461,0.5315568022440392,0.5949764521193093,0.7553423999079276,,,0.6666666666666666,0.5700533291650428,0.41025641025640996,0.5090117245895325,0.3546008745332107,0,0.4473463210872309,3
GNN-DeepFPLearn,OA-DeepFPLearn-GNN-PFAS,57617407ca554cbcb1c88f5e4a726bcf,,,,,,0.7206133008003235,0.702602207660675,0.43249428272247314,,,0.7418200408997955,0.7290748898678414,0.4642356241234222,0.5672664952870609,0.7654094344881124,,,0.8333333333333334,1.0,0.0,0.13118704623788582,0.5444447990807828,0,0.4294635346170397,4
GraphSAGE-DeepFPLearn,OA-DeepFPLearn-GraphSAGE-PFAS,a9c3b8ed645743b7986684949c5ea743,,,,,,,,,,,0.7137014314928425,0.6046511627906976,0.6199158485273493,0.6121883656509696,0.736538641638618,,,0.0,0.0,0.948717948717949,0.7436958034311031,0.0,0,0.32823164316546816,5
GraphSAGE++-DeepFPLearn,OA-DeepFPLearn-GraphSAGEPlus-PFAS,fc49899f18164564886f3d1a58f82be8,,,,,,0.7086882591247559,0.6507936716079712,0.4691075384616852,,,0.7234151329243353,0.6686274509803921,0.4782608695652174,0.5576451349141456,0.7467737986299716,,,0.2878787878787882,0.5141807731738226,0.08547008547008549,0.0,0.19301437341078656,0,0.17663981960770098,6
