model,experiment,run_id,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_mcc
Encoder-DeepFPLearn,OA-DeepFPLearn-Keras-PFAS,9af714984abf4abea4dc982a6818a412,,,,,,0.7436115741729736,0.7222222089767456,0.5057207942008972,,,0.7474437627811861,0.7126213592233009,0.514726507713885,0.5977198697068404,0.7895665939640669,,
GNN-DeepFPLearn,OA-DeepFPLearn-GNN-PFAS,57617407ca554cbcb1c88f5e4a726bcf,,,,,,0.7206133008003235,0.702602207660675,0.43249428272247314,,,0.7418200408997955,0.7290748898678414,0.4642356241234222,0.5672664952870609,0.7654094344881124,,
GAT-DeepFPLearn,OA-DeepFPLearn-GAT-PFAS,1434a96cf4fa40dda0985e1c12fb28e4,,,,,,0.7291311621665955,0.645476758480072,0.6041190028190613,,,0.7321063394683026,0.6336633663366337,0.6283309957924264,0.6309859154929578,0.765594481974231,,
ChemBERTa-DeepFPLearn,ChemBERTa-OA-DeepFPLearn-PFAS,805a76af53814f4e87053bac45293103,,,,,,0.7172061204910278,0.6615384817123413,0.4919908344745636,,,0.7361963190184049,0.6755793226381461,0.5315568022440392,0.5949764521193093,0.7553423999079276,,
GraphSAGE-DeepFPLearn,OA-DeepFPLearn-GraphSAGE-PFAS,a9c3b8ed645743b7986684949c5ea743,,,,,,,,,,,0.7137014314928425,0.6046511627906976,0.6199158485273493,0.6121883656509696,0.736538641638618,,
GraphSAGE++-DeepFPLearn,OA-DeepFPLearn-GraphSAGEPlus-PFAS,fc49899f18164564886f3d1a58f82be8,,,,,,0.7086882591247559,0.6507936716079712,0.4691075384616852,,,0.7234151329243353,0.6686274509803921,0.4782608695652174,0.5576451349141456,0.7467737986299716,,
